District,Local Government,Network,Investment ID,Investment Name, 2024-25 to 2027-28 total budget ($'000) ,Committed total budget ($'000),Australian Government contribution ($’000),Queensland Government contribution ($’000),Local Government/Other Contribution ($’000),Estimated expenditure to 30 June 2024 ($’000),2024-25 ($’000), 2025-26 ($’000),2025-26 to 2026-27 ($'000),2026-27 to 2027-28 ($'000),2026-27 ($’000),2027-28 ($’000),Beyond ($’000),Endnotes,Web Link,Map,Midpoint Latitude,Midpoint Longitude
South Coast,Gold Coast City,State,1748742,"Gold Coast Light Rail (Stage 4), Burleigh Heads to Coolangatta, planning",8400000,30000000,0,15000000,15000000,7270000,2000000,2800000,3600000,3600000,3600000,0,0,Gold Coast City Council contribution includes both financial and in-kind to a total $30 million planning.,https://www.tmr.qld.gov.au/projects/gold-coast-light-rail-stage-4,1,-28.138606,153.488128
South Coast,Gold Coast City,State,740727,"Gold Coast heavy rail extension, corridor planning",280000,1174162,0,1174162,0,894162,50000,180000,50000,50000,50000,0,0,,https://www.tmr.qld.gov.au/projects/gold-coast-heavy-rail-extension-varsity-lakes-to-gold-coast-airport,0,,
South Coast,Gold Coast City,State,3048432,"Hope Island Road (Oxley Drive) and Sunbird Avenue (Paradise Point), improve intersection",1261500,1261500,0,1261500,0,0,100000,961500,200000,200000,200000,0,0,,,1,-27.88461,153.3878
South Coast,Gold Coast City,State,3020381,"Hope Island Road, east of Monterey Keys Drive, install pedestrian signals",2400000,3000000,1500000,1500000,0,600000,2400000,0,0,0,0,0,0,Australian Government Road Safety Program,,1,-27.880651,153.3345
South Coast,Gold Coast City,State,1204182,"Labrador - Carrara Road (Gold Coast Highway to Napper Road), Central Street to Napper Road (Stage 1), construct cycleway",2745024,3879000,0,3879000,0,1133976,2745024,0,0,0,0,0,0,,https://www.tmr.qld.gov.au/projects/labrador-carrara-road-gold-coast-highway-to-napper-road-construct-cycleway,1,-27.943306,153.386462
South Coast,Gold Coast City,State,3048559,"Nerang - Broadbeach Road and Labrador - Carrara Road (Ross Street) intersection, upgrade pedestrian facilities",2116500,2116500,0,2116500,0,0,200000,1716500,200000,200000,200000,0,0,,,1,-27.993507,153.340336
South Coast,Gold Coast City,State,1119268,"Nerang - Broadbeach Road, Pacific Motorway to Lawrence Drive, business case",615260,1200000,0,1200000,0,584740,615260,0,0,0,0,0,0,,,1,-27.996257,153.350641
South Coast,Gold Coast City,State,2754278,"Nerang - Murwillumbah Road, 2022 Disaster Recovery Funding Arrangements reconstruction works",2432612,3860697,2895523,965174,0,1428085,2432612,0,0,0,0,0,0,Funding administered by the Queensland Reconstruction Authority.,,1,-28.091856,153.248316
South Coast,Gold Coast City,State,1390056,"Nerang - Murwillumbah Road, various locations, safety treatments",3196000,38118400,0,38118400,0,34922400,2804321,391679,0,0,0,0,0,High Risk Roads Initiative,https://www.tmr.qld.gov.au/projects/nerang-murwillumbah-road,1,-28.107635,153.244965
South Coast,Gold Coast City,State,2613343,"Nerang Connection Road (Ferry Street) and Nerang Street, improve intersection",673880,1982000,0,1982000,0,1308120,673880,0,0,0,0,0,0,Safer Roads Sooner Program,,1,-27.993568,153.339957
South Coast,Gold Coast City,State,2316082,"New Gold Coast Stations (Pimpama, Hope Island and Merrimac)",285365639,500000000,0,500000000,0,214634361,168347830,117017809,0,0,0,0,0,Includes an agreed contribution from Queensland Rail of $73 million.,https://www.crossriverrail.qld.gov.au/stations-routes/gold-coast-line/,1,-27.81628,153.29663
South Coast,Gold Coast City,State,B06695,"Queensland Train Manufacturing Program Enabling works, Ormeau",246060000,246900000,0,246900000,0,840000,50186000,79763000,116111000,116111000,116001000,110000,0,The Ormeau Mainline Connection Works and Ormeau Feeder Substation have been merged to form Queensland Train Manufacturing Program Enabling works,,1,-27.7605,153.2562
South Coast,Gold Coast City,State,792520,"Smith Street Connection, Olsen Avenue to Kumbari Avenue, construct cycleway",2342215,4500000,0,4500000,0,2157785,2342215,0,0,0,0,0,0,,,1,-27.963479,153.38865
South Coast,Gold Coast City,State,3020336,"Smith Street Connection, Village Boulevard to Olsen Avenue, construct pedestrian and cycleway facilities",12500000,13300000,6650000,6650000,0,800000,6250000,6250000,0,0,0,0,0,Australian Government Road Safety Program,,1,-27.965249,153.385684
South Coast,Gold Coast City,State,1882808,"Southport - Burleigh Road (Clear Island Waters - Burleigh Heads), planning",1400000,1500000,0,1500000,0,100000,600000,400000,400000,400000,400000,0,0,,,1,-28.075616,153.422059
South Coast,Gold Coast City,State,1192281,"Southport - Burleigh Road and Markeri Street, upgrade intersection",5000000,5000000,0,5000000,0,0,0,800000,4200000,4200000,0,4200000,0,,,1,-28.048419,153.407282
South Coast,Gold Coast City,State,3048461,"Southport - Burleigh Road and Slayter Avenue, improve intersection",1561000,1561000,0,1561000,0,0,150000,1111000,300000,300000,300000,0,0,,,1,-27.962632,153.408068
South Coast,Gold Coast City,State,3049063,"Southport - Nerang Road and Ashmore Road (Ashmore), undertake safety improvements",2228000,2228000,0,2228000,0,0,200000,1800000,228000,228000,228000,0,0,Safer Roads Sooner Program,,1,-27.972569,153.411008
South Coast,Gold Coast City,State,3049817,"Southport - Nerang Road, Minnie Street and Anne Street (Southport), improve intersection",1577000,1577000,0,1577000,0,0,100000,1277000,200000,200000,200000,0,0,Safer Roads Sooner Program,,1,-27.972569,153.411008
South Coast,Gold Coast City,State,GC6,"Spit Masterplan (Southport), northern end of Main Beach, implement spit masterplan",13995000,26536000,0,26536000,0,12541000,4622000,1847000,7526000,7526000,260000,7266000,0,This capital value makes up part of the overall $60 million Spit Master Plan works program being implemented by Gold Coast Waterways Authority and other delivery entities.,,0,,
South Coast,Gold Coast City,State,2749642,"Staplyton - Jacobs Well Road, Christensen Road to Woolshed Road, planning",2000000,4000000,0,4000000,0,2000000,2000000,0,0,0,0,0,0,,,1,-27.728028,153.24107
South Coast,Gold Coast City,State,2612780,"Tallebudgera Connection Road (Currumbin Valley), improve safety",438500,1315500,0,1315500,0,877000,438500,0,0,0,0,0,0,Safer Roads Sooner Program,,1,-28.1646,153.43236
South Coast,Gold Coast City,State,2748794,"Tallebudgera Connection Road, 2022 Disaster Recovery Funding Arrangements reconstruction works",758120,1684712,1263534,421178,0,926592,758120,0,0,0,0,0,0,Funding administered by the Queensland Reconstruction Authority.,,1,-28.15336,153.428625
South Coast,Gold Coast City,State,2613366,"Tallebudgera Creek Road and Old Coach Road, improve intersection",1035000,1217000,0,1217000,0,182000,1035000,0,0,0,0,0,0,Safer Roads Sooner Program,,1,-28.12607,153.42584
South Coast,Gold Coast City,State,1780142,"Tamborine - Oxenford Road and Michigan Drive, upgrade intersection",5176536,7130000,0,7130000,0,1953464,3168707,2007829,0,0,0,0,0,,,1,-27.896366,153.296455
South Coast,Gold Coast City,State,2612605,"Tamborine - Oxenford Road, Reserve Road and Charlies Crossing Road North intersections, improve safety",4074650,5000000,0,5000000,0,925350,4074650,0,0,0,0,0,0,,,1,-27.90147,153.28837
South Coast,Gold Coast City,Local,2746292,"Currumbin Oceanway, Currumbin Vikings Surf Club to Tomewin Street, construct shared path",1400000,5600000,0,2800000,2800000,1400000,1400000,0,0,0,0,0,0,,,1,-28.133418,153.490127
South Coast,Gold Coast City,Local,1621576,"Gold Coast Light Rail (Stage 3), Broadbeach South to Burleigh Heads, construct cycleway",13772651,20000000,0,10000000,10000000,6227349,7604415,6168236,0,0,0,0,0,,https://www.tmr.qld.gov.au/projects/gold-coast-light-rail ,1,-28.057883,153.441262
South Coast,Gold Coast City,Local,1822175,"Kerkin Road (Jacobs Well), Pimpama River, upgrade bridge",400000,10060000,2000000,0,8060000,1600000,400000,0,0,0,0,0,0,Australian Government Safer Local Roads and Infrastructure Program,,1,-27.80283,153.33961
South Coast,Gold Coast City,Local,2979659,"Northern Gold Coast Bus Stops (Stage 3), construct bus stops",500000,2100000,0,1050000,1050000,550000,500000,0,0,0,0,0,0,,,0,,
South Coast,Logan City,National,1776871,"Mount Lindesay Highway (Brisbane - Beaudesert), Johanna Street to South Street (Jimboomba), duplication",80640661,95000000,63400000,31600000,0,14359339,12520127,47120534,21000000,21000000,21000000,0,0,"The project is in the post-business case stage, with cost and timing subject to confirmation following market engagement and consideration.",https://www.tmr.qld.gov.au/projects/mount-lindesay-highway-brisbane-beaudesert-johanna-street-to-south-street ,1,-27.827359,153.029053
South Coast,Logan City,National,2262546,"Mount Lindesay Highway (Brisbane - Beaudesert), Logan Motorway to Park Ridge Road, planning",1680000,1900000,0,1900000,0,220000,800000,600000,280000,280000,280000,0,0,,,1,-27.676555,153.030972
South Coast,Logan City,National,1118596,"Mount Lindesay Highway (Brisbane - Beaudesert), North Maclean to Jimboomba, business case",1300000,4100000,0,4100000,0,2800000,1300000,0,0,0,0,0,0,,https://www.tmr.qld.gov.au/projects/programs/mount-lindesay-highway-upgrade-program ,1,-27.797445,153.020955
South Coast,Logan City,National,2262951,"Mount Lindesay Highway (Brisbane - Beaudesert), South Street to Cedar Vale Road, planning",1000000,1000000,0,1000000,0,0,0,600000,400000,400000,400000,0,0,,,1,-27.852187,153.013727
South Coast,Logan City,National,3050251,"Pacific Highway (Pacific Motorway), Main Street overpass (Beenleigh), undertake safety improvements",1025500,1025500,0,1025500,0,0,76000,949500,0,0,0,0,0,Safer Roads Sooner Program,,1,-27.593895,153.111486
South Coast,Logan City,National,2543934,"Pacific Motorway, Daisy Hill to Logan Motorway, funding commitment",550855232,1000000000,500000000,500000000,0,84099800,31900200,60000000,458955032,458955032,69000000,389955032,365044968,"The project is in the pre-business case stage, with scope, cost and timing subject to further planning and business case development, and consideration.",https://www.tmr.qld.gov.au/projects/pacific-motorway-m1-daisy-hill-to-logan-motorway ,1,-27.647344,153.152969
South Coast,Logan City,National,852345,"Pacific Motorway, Eight Mile Plains to Daisy Hill upgrade",162953786,750000000,510000000,240000000,0,587046214,105000000,57953786,0,0,0,0,0,,https://www.tmr.qld.gov.au/projects/pacific-motorway-eight-mile-plains-to-daisy-hill-upgrade ,1,-27.623042,153.127692
South Coast,Logan City,State,1489367,"Beaudesert - Beenleigh Road, Milne Street to Tallagandra Road, duplicate to four lanes",17006421,20000000,6000000,14000000,0,2993579,7211933,8794488,1000000,1000000,1000000,0,0,"The project is in the post-business case stage, with cost and timing subject to confirmation following market engagement and consideration. Funding splits under negotiation.",https://www.tmr.qld.gov.au/projects/beaudesert-beenleigh-road-milne-street-to-tallagandra-road-duplicate-to-four-lanes ,1,-27.72449,153.193852
South Coast,Logan City,State,2748780,"Beenleigh - Redland Bay Road, California Creek Road to Mount Cotton Road, planning",2000000,4000000,0,4000000,0,2000000,2000000,0,0,0,0,0,0,,,1,-27.673509,153.218189
South Coast,Logan City,State,2822489,"Beenleigh - Redland Bay Road, Mount Cotton Road to Kruger Road (Carbrook), construct shared path",2902767,3802767,0,3802767,0,900000,2902767,0,0,0,0,0,0,,,1,-27.67183,153.206244
South Coast,Logan City,State,2352626,"Beenleigh Connection Road and City Road (Beenleigh), upgrade intersection",29321037,30000000,7000000,23000000,0,678963,3155890,10100147,16065000,16065000,8065000,8000000,0,"The project has a business case, with scope, cost and timing subject to further project development and site investigations, and consideration and negotiation with the Australian Government, including funding splits.",https://www.tmr.qld.gov.au/projects/beenleigh-connection-road-logan-street-city-road-intersection-upgrade ,1,-27.708681,153.203412
South Coast,Logan City,State,2681768,"Beenleigh Connection Road, Main Street, Martens Road, M1 Exit 35, improve roundabout, planning",2000000,2000000,0,2000000,0,0,500000,1000000,500000,500000,500000,0,0,,,1,-27.723921,153.21248
South Coast,Logan City,State,3048562,"Brisbane - Beenleigh Road (Kingston Road), Moss Street and Rudge Street (Woodridge), improve intersection",2833000,2833000,0,2833000,0,0,650000,1900000,283000,283000,283000,0,0,,,1,-27.593241,153.107687
South Coast,Logan City,State,2682739,"Brisbane - Beenleigh Road, Jacaranda Avenue to Chambers Flat Road, planning",1000000,1000000,0,1000000,0,0,0,0,1000000,1000000,500000,500000,0,,,1,-27.666289,153.120429
South Coast,Logan City,State,709455,"Brisbane - Beenleigh Road, Kingston Road and Compton Road, upgrade intersection",17617320,20000000,0,20000000,0,2382680,12287320,5330000,0,0,0,0,0,"The project is in the post-business case stage, with cost and timing subject to confirmation following market engagement and consideration.",,1,-27.619827,153.11559
South Coast,Logan City,State,2667114,"Brisbane - Beenleigh Road, improve safety",14269877,14813000,0,14813000,0,543123,6950000,7319877,0,0,0,0,0,High Risk Roads Initiative,,1,-27.647871,153.118212
South Coast,Logan City,State,1077383,"Camp Cable Road and Edelsten Road, improve intersection",2746525,3322500,0,3322500,0,575975,2196525,550000,0,0,0,0,0,Safer Roads Sooner Program,,1,-27.806242,153.061386
South Coast,Logan City,State,1490266,Loganlea train station relocation,144851576,173760000,89380000,84380000,0,28908424,29523843,64808014,50519719,50519719,45788442,4731277,0,"The project is in the post-business case stage, with cost and timing subject to confirmation following market engagement and consideration. It includes an agreed contribution from Queensland Rail.",https://www.tmr.qld.gov.au/projects/loganlea-station-relocation ,1,-27.671552,153.141401
South Coast,Logan City,State,2023478,"Loganlea train station, upgrade park 'n' ride",15750000,15750000,750000,15000000,0,0,8250000,7500000,0,0,0,0,0,"Project scope, cost and timing are subject to further planning and consideration.",https://www.tmr.qld.gov.au/projects/loganlea-station-relocation ,1,-27.671538,153.1414
South Coast,Logan City,State,3049926,"Mount Cotton Road and Wuduru Road (Beenleigh), improve intersection",1382000,1382000,0,1382000,0,0,100000,780000,502000,502000,502000,0,0,Safer Roads Sooner Program,,1,-27.659646,153.234107
South Coast,Logan City,State,2805497,"Park Ridge Connector (Southern Gateway), Logan Motorway to Granger Road, planning",700000,1000000,400000,400000,200000,100000,400000,300000,0,0,0,0,0,"Project scope, cost and timing are subject to further planning, consideration and negotiation with funding partners.",,0,,
South Coast,Logan City,State,1121969,"Park Ridge Connector, planning",200000,1500000,0,1500000,0,1300000,200000,0,0,0,0,0,0,,https://www.tmr.qld.gov.au/projects/park-ridge-connector ,1,-27.67086033,153.0737931
South Coast,Logan City,State,2613362,"Springwood Connection Road (Wembley Road) and Mayes Avenue intersection, improve intersection",1959000,2059000,0,2059000,0,100000,1500000,459000,0,0,0,0,0,Safer Roads Sooner Program,,1,-27.656298,153.065643
South Coast,Logan City,State,3020228,"Springwood Connection Road (Wembley Road), Woodridge Plaza entrance to Kingston Road, construct off road cycleway and signalised pedestrian crossings",5000000,5500000,2750000,2750000,0,500000,5000000,0,0,0,0,0,0,Australian Government Road Safety Program,,1,-27.642162,153.116841
South Coast,Logan City,State,3050176,"Waterford - Tamborine Road (Logan Village), undertake safety improvements",1002000,1002000,0,1002000,0,0,802000,200000,0,0,0,0,0,Safer Roads Sooner Program,,1,-27.75685,153.11517
South Coast,Logan City,State,1121203,"Waterford - Tamborine Road, Logan Village to Brisbane - Beenleigh Road, planning",200000,1300000,0,1300000,0,1100000,200000,0,0,0,0,0,0,,https://www.tmr.qld.gov.au/projects/waterford-tamborine-road-north-street-intersection ,1,-27.708366,153.137964
South Coast,Logan City,State,2688576,"Waterford - Tamborine Road, Stegemann Road to Logan Village, planning",2000000,2000000,0,2000000,0,0,500000,1000000,500000,500000,500000,0,0,,,1,-27.759933,153.110427
South Coast,Logan City,Local,2422631,"Bethania to Logan Village, construct rail trail",2834519,7086300,0,3543150,3543150,708631,2834519,0,0,0,0,0,0,,,1,-27.74157,153.130391
South Coast,Logan City,Local,1836313,"Chambers Flat Road and School Road (Logan Reserve), install traffic signals",550000,1100000,1100000,0,0,550000,550000,0,0,0,0,0,0,Australian Government Black Spot Program,,1,-27.71089,153.09343
South Coast,Logan City,Local,3049818,"Hein Road (Buccan), Section A, undertake safety improvements",1950000,1950000,1950000,0,0,0,100000,1850000,0,0,0,0,0,Australian Government Black Spot Program,,1,-27.741348,153.144229
South Coast,Logan City,Local,3049819,"Hein Road, The Aspect to Stegemann Road (Buccan), Section B, undertake safety improvements",1740000,1740000,1740000,0,0,0,100000,1640000,0,0,0,0,0,Australian Government Black Spot Program,,1,-27.747038,153.133833
South Coast,Logan City,Local,2654921,Loganlea Road Upgrade,10000000,79389250,24189250,0,55200000,14189250,10000000,0,0,0,0,0,0,,https://www.logan.qld.gov.au/loganlea-road-upgrade ,1,-27.662331,153.140419
South Coast,Logan City,Local,3049816,"Mundoolun Road (Mundoolun), undertake safety improvements",1480000,1480000,1480000,0,0,0,80000,1400000,0,0,0,0,0,Australian Government Black Spot Program,,1,-27.900543,153.090137
South Coast,Scenic Rim Regional,National,1452806,"Cunningham Highway (Ipswich - Warwick), 2020 Disaster Recovery Funding Arrangements reconstruction works",56956133,134400000,100800000,33600000,0,77443867,46392441,10563692,0,0,0,0,0,Funding administered by the Queensland Reconstruction Authority.,https://www.tmr.qld.gov.au/projects/cunningham-highway-ipswich-warwick-2020-disaster-recovery-funding-arrangements-reconstruction-works ,1,-28.059187,152.410853
South Coast,Scenic Rim Regional,National,2768996,"Cunningham Highway (Ipswich - Warwick), 2022 Disaster Recovery Funding Arrangements reconstruction works",1347992,1531306,1148480,382826,0,183314,1182741,165251,0,0,0,0,0,Funding administered by the Queensland Reconstruction Authority.,,1,-28.028308,152.483505
South Coast,Scenic Rim Regional,National,3020333,"Cunningham Highway (Ipswich - Warwick), undertake safety improvements",2500000,3000000,1500000,1500000,0,500000,2500000,0,0,0,0,0,0,Australian Government Road Safety Program,,1,-28.053604,152.432182
South Coast,Scenic Rim Regional,National,2731834,"Mount Lindesay Highway (Brisbane - Beaudesert), 2022 Disaster Recovery Funding Arrangements reconstruction works",1232717,1285062,963797,321265,0,52345,1125808,106909,0,0,0,0,0,Funding administered by the Queensland Reconstruction Authority.,,1,-27.967166,152.996213
South Coast,Scenic Rim Regional,State,2612588,"Beaudesert - Beenleigh Road and Mundoolun Connection Road intersection, improve safety",5101000,5608000,0,5608000,0,507000,2848000,2253000,0,0,0,0,0,,,1,-27.974262,153.05988
South Coast,Scenic Rim Regional,State,1836448,"Beaudesert - Boonah Road (Coulson), improve safety",2983438,3210951,0,3210951,0,227513,2383438,600000,0,0,0,0,0,Safer Roads Sooner Program,,1,-27.954653,152.733374
South Coast,Scenic Rim Regional,State,2748533,"Beaudesert - Boonah Road, 2022 Disaster Recovery Funding Arrangements reconstruction works",1007444,1187617,890713,296904,0,180173,899913,107531,0,0,0,0,0,Funding administered by the Queensland Reconstruction Authority.,,1,-27.942119,152.848852
South Coast,Scenic Rim Regional,State,2340521,"Beaudesert - Nerang Road (Biddaddaba), reshape and seal previously unsealed section",4900000,5200000,2600000,2600000,0,300000,4900000,0,0,0,0,0,0,Australian Government Road Safety Program,,1,-27.966149,153.136228
South Coast,Scenic Rim Regional,State,2804555,"Boonah - Rathdowney Road, 2022 Disaster Recovery Funding Arrangements reconstruction works",3392945,3999221,2999416,999805,0,606276,3030005,362940,0,0,0,0,0,Funding administered by the Queensland Reconstruction Authority.,,1,-28.194718,152.781832
South Coast,Scenic Rim Regional,State,2823837,"Ipswich - Boonah Road, 2022 Disaster Recovery Funding Arrangements reconstruction works",1267241,1494215,1120662,373553,0,226974,1132487,134754,0,0,0,0,0,Funding administered by the Queensland Reconstruction Authority.,,1,-27.907732,152.717224
South Coast,Scenic Rim Regional,State,3020384,"Mount Lindesay Highway (Beaudesert - Border) and Kooralbyn Road, undertake safety improvements",2200000,2500000,1250000,1250000,0,300000,2200000,0,0,0,0,0,0,Australian Government Road Safety Program,,1,-27.988176,152.995924
South Coast,Scenic Rim Regional,State,2767452,"Mount Lindesay Highway (Beaudesert - Border), 2022 Disaster Recovery Funding Arrangements betterment works",2835969,3563040,1781520,1781520,0,727071,1767057,1068912,0,0,0,0,0,Funding administered by the Queensland Reconstruction Authority.,,1,-28.2548,152.829402
South Coast,Scenic Rim Regional,State,2769110,"Mount Lindesay Highway (Beaudesert - Border), 2022 Disaster Recovery Funding Arrangements reconstruction works",6822369,8041901,6031426,2010475,0,1219532,6093279,729090,0,0,0,0,0,Funding administered by the Queensland Reconstruction Authority.,,1,-28.2548,152.829402
South Coast,Scenic Rim Regional,State,1836396,"Mount Lindesay Highway (Beaudesert - Border), Palen Creek, improve safety",2514803,2886467,0,2886467,0,371664,2514803,0,0,0,0,0,0,Safer Roads Sooner Program,,1,-28.278434,152.795574
South Coast,Scenic Rim Regional,State,2823838,"Rosewood - Warrill View Road, 2022 Disaster Recovery Funding Arrangements reconstruction works",1360521,1603870,1202903,400967,0,243349,1215349,145172,0,0,0,0,0,Funding administered by the Queensland Reconstruction Authority.,,1,-27.772661,152.536336
South Coast,Scenic Rim Regional,State,1836425,"Tamborine Mountain Road (Tamborine Mountain), improve safety",1420000,1900000,0,1900000,0,480000,1420000,0,0,0,0,0,0,Safer Roads Sooner Program,,1,-27.902355,153.171359
South Coast,Scenic Rim Regional,State,2802920,"Tamborine Mountain Road, 2022 Disaster Recovery Funding Arrangements reconstruction works",1650351,2448864,1836648,612216,0,798513,1310684,339667,0,0,0,0,0,Funding administered by the Queensland Reconstruction Authority.,,1,-27.928437,153.184519
South Coast,Scenic Rim Regional,State,2613679,"Tamborine Mountain Road, improve safety",977006,1179500,0,1179500,0,202494,977006,0,0,0,0,0,0,Safer Roads Sooner Program,,1,-27.901178,153.165813
South Coast,Scenic Rim Regional,Local,3006565,"Hinchcliffe Drive (Kooralbyn), replace bridge",5000000,8097400,5000000,0,3097400,0,2500000,2500000,0,0,0,0,0,Australian Government Safer Local Roads and Infrastructure Program,,1,-28.083106,152.83227
South Coast,Scenic Rim Regional,Local,3006396,"Kengoon Road (Kents Lagoon), replace bridge",2493032,3116290,2493032,0,623258,0,1246516,1246516,0,0,0,0,0,Australian Government Safer Local Roads and Infrastructure Program,,1,-27.881687,152.627916
South Coast,Scenic Rim Regional,Local,3006608,"Kerry Road (Kerry), realignment, strengthen and widen pavement",5000000,9601200,5000000,0,4601200,0,2500000,2500000,0,0,0,0,0,Australian Government Safer Local Roads and Infrastructure Program,,1,-28.17663,153.0408
South Coast,Various local governments,National,1118517,"Pacific Motorway, Logan Motorway to Nerang, planning",331399,1492223,700000,792223,0,1160824,331399,0,0,0,0,0,0,,,0,,
South Coast,Various local governments,State,1487103,"Salisbury to Beaudesert rail line, planning",16416346,20000000,10000000,10000000,0,3583654,800000,2820000,12796346,12796346,12796346,0,0,Australian Government Major Projects Business Case Fund,https://www.tmr.qld.gov.au/projects/salisbury-to-beaudesert-rail-business-case ,1,-27.553887,153.022738
South Coast,Other works,,,"Boating Infrastructure Program, various locations",9850000,0,0,9850000,0,0,2200000,2550000,5100000,5100000,2550000,2550000,0,,,0,,
South Coast,Other works,,,Construction Works,44665739,0,1385081,43090238,190420,0,24269650,19216743,1179346,1179346,0,1179346,0,,,0,,
South Coast,Other works,,,Corridor Acquisitions (Hardship),48000000,0,0,48000000,0,0,10000000,4000000,34000000,34000000,4000000,30000000,0,,,0,,
South Coast,Other works,,,Corridor Acquisitions (Non-hardship),0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,
