Millmerran State School - Amenities,307,"3,127",798,"1,689",640
upgrades,,,,,
Mirani State High School - Refurbish learning,312,"1,892",172,"1,720",
space,,,,,
,36,,,,
Capital Statement 2024–25,,,,,
,Education,,,,
,Statistical,Total,Expenditure,Budget,Post
,Area,Estimated,to,2024-25,2024-25
Project,,,,,
,,Cost,30-06-24,,
,,$'000,$'000,$'000,$'000
Miriam Vale State School - Amenities,308,308,,308,
upgrades,,,,,
Moranbah East State School - Additional,312,"10,762","3,160","3,002","4,600"
classrooms,,,,,
Moranbah State High School - Additional,312,"12,277","4,181","6,256","1,840"
classrooms,,,,,
Morningside State School - Amenities,305,720,,720,
upgrades,,,,,
Mornington Island State School - Refurbish,315,568,,568,
learning space,,,,,
Mount Gravatt East State School - Carpark,303,"1,290",91,"1,199",
upgrade,,,,,
Mount Gravatt State High School - Amenities,303,720,,720,
upgrades,,,,,
Mount Isa Central State School - Refurbish,315,568,43,525,
learning space,,,,,
Mundingburra State School - Refurbish,318,568,52,516,
learning space,,,,,
Nerang State High School - Upgrade existing,309,"8,937",173,"6,336","2,428"
hall facility,,,,,
New primary school in Bellbird Park,310,"77,636","67,794","3,485","6,357"
New primary school in Park Ridge,311,"84,337","44,340","22,240","17,757"
New schools ²,Various,"300,752","5,816","52,228","242,708"
New secondary school in Collingwood Park,310,"115,467","34,929","40,696","39,842"
Northern Peninsula Area State College -,315,"1,500",182,"1,318",
Senior Campus - Site renewal and,,,,,
amenities upgrade,,,,,
Oakleigh State School - New hall facility,305,"8,730","1,290","7,440",
One Mile State School - Amenities upgrades,319,"1,600",,"1,600",
Palmview State Secondary College - New,316,"99,534","52,350","14,728","32,456"
secondary school,,,,,
Pialba State School - Amenities upgrades,319,560,,560,
Pimlico State High School - Refurbishment of,318,953,100,853,
specialist classrooms and water,,,,,
reticulation upgrade,,,,,
Proserpine State School - Carpark upgrade,312,"1,135",34,"1,101",
Queensland Pathways State College -,318,800,518,282,
Townsville Campus - Site renewal,,,,,
Rathdowney State School - Amenities,311,"1,200",,"1,200",
upgrades,,,,,
Redlynch State College - New hall facility,306,"12,842",297,"6,622","5,923"
,37,,,,
Capital Statement 2024–25,,,,,
,Education,,,,
,Statistical,Total,Expenditure,Budget,Post
,Area,Estimated,to,2024-25,2024-25
Project,,,,,
,,Cost,30-06-24,,
,,$'000,$'000,$'000,$'000
Richmond State School - Refurbish learning,315,568,26,542,
space,,,,,
Ripley Central State School - New primary,310,"64,107","51,854","9,438","2,815"
school,,,,,
Rockhampton Special School - Additional,308,"15,296","11,277","4,019",
classrooms,,,,,
Sarina State High School - Refurbish learning,312,"5,568",620,"4,948",
space,,,,,
Scenic Shores State School - New primary,301,"63,967","54,996","7,735","1,236"
school,,,,,
School infrastructure enhancement,Various,,,"20,000",Ongoing
School playground and tuckshop upgrades,Various,"102,296","9,555","26,219","66,522"
School Subsidy Scheme,Various,,,"12,740",Ongoing
School Upgrade Fund ³,Various,"46,387","8,387","15,000","23,000"
Seville Road State School - Refurbish,303,"1,376",,"1,376",
learning space,,,,,
Shovel Ready Program - Various minor,Various,"48,025","45,900","2,125",
works,,,,,
Special school renewal,Various,"166,812","18,278","38,640","109,894"
Springfield Central State School - Site,310,800,280,520,
renewal,,,,,
Springfield Lakes State School - Site renewal,310,"1,040",620,420,
Swayneville State School - Carpark upgrade,312,344,65,279,
Tagai State College - Kubin Campus -,315,550,,550,
Upgrade water reticulation,,,,,
Tagai State College - Mabuiag Island,315,550,,550,
Campus - Upgrade water reticulation,,,,,
Tagai State College - Poruma Campus -,315,550,,550,
Upgrade water reticulation,,,,,
Tagai State College - Saibai Island Campus -,315,550,,550,
Upgrade water reticulation,,,,,
Tagai State College - St Pauls Campus -,315,550,,550,
Upgrade water reticulation,,,,,
Tagai State College - Thursday Island,315,800,480,320,
Primary Campus - Amenities upgrades,,,,,
Tagai State College - Thursday Island,315,860,,860,
Secondary - Amenities upgrades,,,,,
Tagai State College - Yam Island Campus -,315,550,,550,
Upgrade water reticulation,,,,,
Taranganba State School - Refurbish,308,602,,602,
learning space,,,,,
,38,,,,
Capital Statement 2024–25,,,,,
,Education,,,,
,Statistical,Total,Expenditure,Budget,Post
,Area,Estimated,to,2024-25,2024-25
Project,,,,,
,,Cost,30-06-24,,
,,$'000,$'000,$'000,$'000
The Willows State School - Refurbish,318,559,43,516,
learning space,,,,,
Toolooa State High School - Additional,308,"14,193","4,993","9,200",
classrooms,,,,,
Townsville South State School - Refurbish,318,387,26,361,
learning space,,,,,
Trinity Bay State High School - New hall,306,"14,832","6,562","4,390","3,880"
facility,,,,,
Upper Brookfield State School - Amenities,304,960,,960,
upgrades,,,,,
Veresdale Scrub State School - Refurbish,311,"1,290",,"1,290",
learning space,,,,,
Warwick State High School - Amenities,307,602,,602,
upgrades,,,,,
Western Cape College - Mapoon - Amenities,315,640,152,488,
upgrades,,,,,
William Ross State High School - Security,318,"1,116",,"1,116",
fence,,,,,
Wilston State School - New hall facility,305,"17,575","5,340","8,375","3,860"
Wishart State School - Additional classrooms,303,"10,202","6,272","3,930",
Woodcrest State College - Security fence,310,"1,674",,"1,674",
Wowan State School - Amenities upgrades,308,890,623,267,
Yandina State School - New hall facility,316,"11,973","1,012","6,573","4,388"
Yarrabah State School - Secondary Campus,306,640,,640,
- Amenities upgrades,,,,,
Youth Engagement,Various,"27,875",,"14,750","13,125"
Sub-total Capital Works Program,,,"1,192,380",,
Plant and Equipment,,,,,
Education plant and equipment,Various,,,"82,028",Ongoing
"Total Property, Plant and Equipment",,,"1,274,408",,
Capital Grants,,,,,
Capital grants - Education,Various,,"137,893",Ongoing,
Total Capital Grants,,,"137,893",,
,39,,,,
,Capital Statement 2024–25,,,,
,Education,,,,
,Statistical,Total,Expenditure,Budget,Post
,Area,Estimated,to,2024-25,2024-25
,Project,,,,
,Cost,30-06-24,,,
,$'000,$'000,$'000,$'000,
QUEENSLAND CURRICULUM AND ASSESSMENT AUTHORITY,,,,,
"Property, Plant and Equipment",,,,,
Plant and Equipment - Queensland Curriculum,Various,,"1,200",Ongoing,
and Assessment Authority,,,,,
"Total Property, Plant and Equipment",,,"1,200",,
TOTAL EDUCATION (PPE),,,"1,275,608",,
TOTAL EDUCATION (CG),,,"137,893",,
Notes:,,,,,
1,Includes funding for the Aurukun and Kowanyama early years hub.,,,,
2,"Refers to funding allocated for four new schools (primary schools in the Caloundra South, Ripley, and Holmview, and ",,,,
,secondary school in Park Ridge).,,,,
3,Australian Government funding received to provide more equitable access to resources to support schools to help ,,,,
,"keep students and school staff safe, and get students’",education back on track after disruptions caused by,,,
,COVID-19.,,,,
,40,,,,
,Capital Statement 2024–25
3.4,"EMPLOYMENT, SMALL BUSINESS AND"
TRAINING,
"EMPLOYMENT, SMALL BUSINESS AND TRAINING",
"In 2024-25, the Employment, Small Business and Training portfolio, including TAFE Queensland,",
has capital purchases of $95.7 million and capital grants of $2.5 million.,
"Department of Employment, Small Business and Training",
"The 2024-25 capital program for the Department of Employment, Small Business and Training of",
$80.5 million includes $78 million of capital purchases and $2.5 million of capital grants for the,
continued delivery of the Equipping TAFE for Our Future program.,
"Program Highlights (Property, Plant and Equipment)",
●,$41.4 million for the delivery of the Annual Training Infrastructure Program including building
,and fire compliance works and asset lifecycle condition upgrades for various TAFE locations
,"across Queensland. The program focuses on improving safety, sustainability and resilience"
,"by the renewal and upgrades of roofs, roads, carparks, electrical works, building"
,"management and heating, ventilation and air conditioning systems."
●,$14.8 million for the commencement and delivery of the Great Barrier Reef International
,Marine College expansion project.
●,$11.9 million for the continued delivery of Equipping TAFE for Our Future Eagle Farm
,Robotics and Advanced Manufacturing Centre project (noting that the Annual Training
,Infrastructure Program funding also contributes to Equipping TAFE for Our Future Program).
●,$9.8 million for the continued delivery of TAFE Technology Fund projects including Loganlea
,"clinical skills laboratory, Pimlico visual arts precinct and Thursday Island health hub."
Program Highlights (Capital Grants),
●,$2.5 million for the continued delivery of Equipping TAFE for Our Future grant project for the
,Central Queensland University Rockhampton Campus Consolidation and Training Centre.
,41
Capital Statement 2024–25,,,,,
"Employment, Small Business and Training",,,,,
,Statistical,Total,Expenditure,Budget,Post
,Area,Estimated,to,2024-25,2024-25
Project,,,,,
,,Cost,30-06-24,,
,,$'000,$'000,$'000,$'000
"DEPARTMENT OF EMPLOYMENT, SMALL BUSINESS AND TRAINING",,,,,
"Property, Plant and Equipment",,,,,
Equipping TAFE for Our Future,,,,,
Eagle Farm Robotics and Advanced,302,"40,020","28,096","11,924",
Manufacturing Centre,,,,,
Great Barrier Reef International Marine College,306,"16,000","1,200","14,800",
expansion,,,,,
TAFE Technology Fund,,,,,
Pimlico visual arts precinct,318,"4,500",700,"3,800",
Loganlea clinical skills laboratory,311,"3,800",284,"3,516",
Thursday Island health hub,315,"3,500","1,000","2,500",
Annual Training Infrastructure Program,Various,,,"41,417",Ongoing
"Total Property, Plant and Equipment",,,,"77,957",
Capital Grants,,,,,
Central Queensland University Rockhampton,308,"8,400","5,925","2,475",
Campus Consolidation and Training Centre,,,,,
Total Capital Grants,,,,"2,475",
TAFE QUEENSLAND,,,,,
"Property, Plant and Equipment",,,,,
"Training and operational equipment acquisition,",,,,,
replacement and modernisation,,,,,
Rolling replacement program,Various,,,"4,794",Ongoing
Modernisation and reinvigoration projects,Various,,,"6,699",Ongoing
Product development,Various,,,"5,706",Ongoing
Aviation Australia capital program,Various,,,500,Ongoing
"Total Property, Plant and Equipment",,,,"17,699",
"TOTAL EMPLOYMENT, SMALL BUSINESS AND TRAINING (PPE)",,,,"95,656",
"TOTAL EMPLOYMENT, SMALL BUSINESS AND TRAINING (CG)",,,,"2,475",
,42,,,,
,Capital Statement 2024–25
3.5,ENERGY AND CLIMATE
The Energy and Climate Portfolio includes the Department of Energy and Climate and the,
energy government owned corporations reporting to the Minister for Energy and Clean Economy,
Jobs. The portfolio's capital program for 2024-25 is $8.686 billion. The portfolio's capital grants,
for 2024-25 are $18 million.,
Department of Energy and Climate,
Total capital grants for the Department of Energy and Climate are $18 million in 2024-25.,
Program Highlights (Capital Grants),
●,$10 million to support communities in seizing industry development opportunities presented
,by global decarbonisation as part of the Regional Economic Futures Fund.
●,"$8 million to support businesses to purchase energy efficient appliances and equipment,"
,smart technology and energy management systems to reduce their energy costs as part of
,the Queensland Business Energy Savings and Transformation program (QBEST).
CleanCo Queensland Limited,
Total capital expenditure planned for 2024-25 is $452.1 million. CleanCo's capital program is,
"focused on building new renewable energy and firming, maintaining exising assets and",
enhancing trading and asset management systems.,
"Program Highlights (Property, Plant and Equipment)",
●,"$274.8 million to build, own and operate the 250-megawatt, 2-hour Swanbank Battery, as"
,part of the Swanbank Future Clean Energy Hub.
●,$92 million to progress the development of new wind and solar farms in Central Queensland.
●,$31.2 million to maintain existing generation assets.
●,$26.7 million to undertake a major overhaul at Swanbank E Power Station and to procure
,components for the next major overhaul at Wivenhoe Power Station.
CS Energy Limited,
Total capital expenditure planned for 2024-25 is $1.126 billion. This reflects CS Energy's,
continued commitment to expanding its renewable energy and firming portfolio and the ongoing,
reliability and efficiency of existing generation assets.,
"Program highlights (Property, Plant and Equipment)",
●,$674.3 million to develop the 285-megawatt Lotus Creek Wind Farm and 228-megawatt
,Boulder Creek Wind Farm.
●,$306 million to progress the 400-megawatt Brigalow hydrogen-ready gas peaking plant and
,"200-megawatt, 2-hour Greenbank Battery."
●,$108.3 million to replace and refurbish existing infrastructure at Callide Power Station to
,ensure continued reliability of supply to Queensland and the National Electricity Market.
●,$25.5 million to replace and refurbish existing infrastructure at Kogan Creek Power Station to
,ensure continued reliability of supply to Queensland and the National Electricity Market.
,43
,Capital Statement 2024–25
Energy Queensland Limited,
Total capital expenditure planned for 2024-25 is $2.683 billion. This forms part of Energy,
"Queensland’s commitment to providing safe, secure and reliable electricity to all Queensland",
customers. The capital program aims to improve and reinforce electricity supplies across,
"Queensland to meet customer needs, and to support the transformation of Queensland’s energy",
"system to deliver clean, reliable and affordable energy.",
"Program Highlights (Property, Plant and Equipment)",
●,$254.7 million to continue delivery of the Local Network Battery Plan across Queensland.
●,$54.8 million to decarbonise isolated communities.
●,$53 million to establish a new substation at Bells Creek Central to support regional growth.
●,$44.5 million to upgrade the gas-fired Barcaldine Power Station.
●,$25.4 million to redevelop the depot and training facilities at Rocklea.
●,$16.3 million to refurbish the Ergon Energy Cairns operational depot.
●,$15.3 million to refurbish the Mossman Substation.
●,$12.4 million upgrade the 66-kilovolt Cannonvale to Jubilee Pocket powerline.
●,$10 million to progress a Local Renewable Energy Zone Pilot Project.
Powerlink Queensland,
Total capital expenditure planned for 2024-25 is $1.881 billion. Powerlink Queensland's capital,
"program is focused on the delivery of CopperString 2032, the Queensland Energy and Jobs Plan",
"SuperGrid Stage 1, and the replacement of equipment and assets to ensure the continued",
reliable supply of electricity.,
"Program Highlights (Property, Plant and Equipment)",
●,"$712 million for the CopperString 2032 project, to construct a transmission line from"
,Townsville to Mt Isa to connect the Queensland North West Minerals Province to the
,national electricity grid.
●,$109.4 million for QEJP SuperGrid Stage 1 projects which include early works and the
,construction of transmission lines and connections to and from the Borumba PHES.
●,$40.8 million to replace the Advance Energy Management System to ensure continuing
,effective management of the transmission network in real time.
●,$20 million to construct the Gladstone Transmission Training Hub to deliver regional
,employment and training opportunities and support the growth of the network.
●,$14.2 million to upgrade infrastructure on the Davies Creek to Bayview Heights
,Transmission Line to ensure continued reliability of supply to the surrounding area.
●,$8.9 million to replace primary plant at the Lilyvale Substation in Central Queensland to
,ensure continued reliability of supply to the surrounding area.
●,"$4.8 million to construct the Calvale to Calliope River 275 kilovolt Transmission Line,"
,supporting reinforcement of the transmission network in the Gladstone region.
Queensland Hydro Pty Ltd,
Total capital expenditure planned for 2024-25 is $974.4 million. This includes progress of,
"approvals, exploratory works, and procurement for the main works of the Borumba Pumped",
Hydro Energy Storage project.,
,44
,Capital Statement 2024–25,,,,
